price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url
8500000.0,2.25,Marla,Lahore,Other,House,6.0,6.0,2020.0,0.0,0.0,1.0,1.0,0.0,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_-_zeenat_block_2_25_marla_brand_new_house_for_sale_opposite_to_iqbal_town_zeenat_block_near_to_orange_train_station_fori_rabta_keray-54224991-3537-1.html
9000000.0,3.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,2.0,2.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_al_haram_garden_3_marla_brand_new_half_double_storey_spanish_house_for_sale-54248962-9212-1.html
9000000.0,3.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,3.0,1.0,0.0,0.0,2012.0,https://www.zameen.com/Property/al_haram_garden_al_haram_garden_-_block_b_a_facing_park_house_at_affordable_price_awaits_you-54248961-15997-1.html
66900000.0,12.0,Marla,Lahore,Raiwind,House,6.0,6.0,2020.0,0.0,1.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/lake_city_lake_city_-_sector_m-3a_12_marla_ultra_modern_designer_house_for_sale_in_lake_city_sector_m3-a-53906348-4003-1.html
25000000.0,5.0,Marla,Lahore,Dha Defe,House,5.0,7.0,2020.0,4.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_ultra_modern_design_house_for_sale_top_location-54047383-1452-1.html
34500000.0,9.0,Marla,Lahore,Bankers Town,House,3.0,1.0,2020.0,0.0,1.0,0.0,2025.0,0.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_9_marla_luxury_house_for_sale_bankers_avenue_cooperative_housing_society_main_bedian_road_lahore-53836716-8325-1.html
53000000.0,10.0,Marla,Lahore,Raiwind,House,5.0,5.0,2020.0,0.0,1.0,0.0,2.0,2.0,https://www.zameen.com/Property/lake_city_lake_city_-_sector_m-2a_10_marla_brand_new_house_available_for_sale_in_lake_city_sector_m2a-53484907-4002-1.html
25500000.0,5.0,Marla,Lahore,Sabzazar Scheme,House,4.0,4.0,2020.0,1.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/sabzazar_scheme_sabzazar_scheme_-_block_p_5_marla_vip_house_for_sale-54091725-4178-1.html
249500000.0,2.0,Kanal,Lahore,Dha Defe,House,5.0,6.0,2020.0,6.0,3.0,0.0,3.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_6_task_estate_offer_2_kanal_banglow_for_sale_near_to_dha_raya_phase_6_hot_location-53726576-1448-1.html
147500000.0,2.0,Kanal,Lahore,Dha Defe,House,6.0,7.0,2020.0,6.0,3.0,0.0,0.0,2015.0,https://www.zameen.com/Property/dha_defence_dha_phase_2_task_estate_offer_2_kanal_luxury_banglow_for_sale_70ft_road_in_dha_phase_02-53731312-1444-1.html
96500000.0,1.0,Kanal,Lahore,Dha Defe,House,5.0,6.0,2020.0,4.0,2026.0,2026.0,0.0,2026.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_task_est_offer_1_kanal_brand_new_designer_house_for_sale_in_phase_7_dha-54107411-1450-1.html
125000000.0,1.0,Kanal,Lahore,Dha Defe,House,5.0,6.0,2020.0,4.0,2026.0,2026.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_6_task_est_offer_1_kanal_brand_new_full_furnished_designer_house_near_raya_for_sale_in_phase_6_dha-54146730-1448-1.html
