price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url,area_marla,property_age,total_rooms,luxury_score,bedroom_bathroom_ratio,location_avg_price
40000000,10.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/al_rehman_garden_phase_2_al_rehman_phase_2_-_block_g_book_a_prime_location_10_marla_house_in_al_rehman_phase_2_-_block_g-54248912-12996-1.html,10.0,6.0,10.0,0.0,0.9999980000040001,37411065.57377049
88000000,1.0,Kanal,Lahore,DHA Defence,House,4.0,5.0,2020.0,0.0,2025.0,2025.0,2025.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_top_quality_build_luxurious_beautiful_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_6_prime_location_near_to_raya_20_kva_solar_with_green_metar-54248899-1448-1.html,20.0,6.0,4059.0,2025.0,1.2499968750078125,81496093.75
220000000,2.0,Kanal,Lahore,Other,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_gulberg_2_kanal_house_for_sale_on_link_kasori_road_hussain_chowk_gulberg-40389685-7-1.html,40.0,6.0,11.0,0.0,1.1999976000048,37411065.57377049
80000000,1.0,Kanal,Lahore,DHA Defence,House,3.0,2.0,2020.0,0.0,2.0,0.0,4.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_8_prime_location-54233703-1451-1.html,20.0,6.0,9.0,2.0,0.6666644444518518,81496093.75
27500000,10.0,Marla,Lahore,Other,House,6.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/harbanspura_aamir_town_10_marla_single_storey_house_for_sale_in_amir_town_harbanspura_lahore-53451068-3879-1.html,10.0,6.0,12.0,0.0,0.9999983333361112,37411065.57377049
24500000,5.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,0.0,0.0,0.0,1.0,0.0,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_a1_beautifull_facing_park_double_story_house_for_sale-54247632-3939-1.html,5.0,6.0,7.0,0.0,0.9999966666777778,37411065.57377049
17000000,5.0,Marla,Lahore,Park View City,House,4.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54081890-1466-1.html,5.0,6.0,9.0,2.0,1.2499968750078125,21882758.620689657
16500000,5.0,Marla,Lahore,Park View City,House,4.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54081851-1466-1.html,5.0,6.0,9.0,2.0,1.2499968750078125,21882758.620689657
47500000,10.0,Marla,Lahore,DHA Defence,House,4.0,5.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_8_brand_new_4_beds_10_marla_modern_house_for_sale_in_eden_city_dha_phase_8_lahore-52036364-1451-1.html,10.0,6.0,9.0,1.0,1.2499968750078125,81496093.75
47500000,10.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/eden_eden_city_brand_new_4_beds_10_marla_modern_house_for_sale_in_eden_city_dha_phase_8_lahore-52044821-409-1.html,10.0,6.0,9.0,2.0,1.2499968750078125,37411065.57377049
